Title,Link,Year,Rating_Classification,Total_Ratings,Critic_Score,Audience_Score,Genre,Director,Runtime
Hunt for the Wilderpeople,https://www.rottentomatoes.com/m/hunt_for_the_wilderpeople,2016,PG-13,25000,97,91,Comedy,Taika Waititi,101
Hell or High Water,https://www.rottentomatoes.com/m/hell_or_high_water,2016,R,25000,97,88,Crime,David Mackenzie,97
Army of Shadows,https://www.rottentomatoes.com/m/army_of_shadows,1970,Not Rated,5000,97,94,War,Jean-Pierre Melville,140
007: Goldfinger,https://www.rottentomatoes.com/m/goldfinger,1964,PG,100000,99,89,Action,Guy Hamilton,112
The Lady Eve,https://www.rottentomatoes.com/m/lady_eve,1941,Not Rated,5000,99,87,Romance,Preston Sturges,97
Saving Private Ryan,https://www.rottentomatoes.com/m/saving_private_ryan,1998,R,250000,94,95,War,Steven Spielberg,169
Ratatouille,https://www.rottentomatoes.com/m/ratatouille,2007,G,250000,96,87,Kids & Family,Brad Bird,111
Star Trek,https://www.rottentomatoes.com/m/star_trek_11,2009,PG-13,250000,94,91,Sci-Fi,J.J. Abrams,126
The Iron Giant,https://www.rottentomatoes.com/m/iron_giant,1999,PG,100000,96,90,Kids & Family,Brad Bird,86
Monty Python and the Holy Grail Sing-Along,https://www.rottentomatoes.com/m/monty_python_and_the_holy_grail,1975,PG,250000,96,95,Comedy,Terry Gilliam,90
Star Wars: Episode IV - A New Hope,https://www.rottentomatoes.com/m/star_wars_episode_iv_a_new_hope,1977,PG,250000,93,96,Sci-Fi,George Lucas,121
Shadow of a Doubt,https://www.rottentomatoes.com/m/1018688-shadow_of_a_doubt,1943,PG,10000,100,89,Crime,Alfred Hitchcock,108
WALL-E,https://www.rottentomatoes.com/m/wall_e,2008,G,250000,95,90,Kids & Family,Andrew Stanton,97
Brooklyn,https://www.rottentomatoes.com/m/brooklyn,2015,PG-13,25000,97,87,Romance,John Crowley,112
Mr. Smith Goes to Washington,https://www.rottentomatoes.com/m/mr_smith_goes_to_washington,1939,Not Rated,25000,97,94,Comedy,Frank Capra,125
Spider-Man: No Way Home,https://www.rottentomatoes.com/m/spider_man_no_way_home,2021,PG-13,25000,93,97,Action,Jon Watts,148
The Best Years of Our Lives,https://www.rottentomatoes.com/m/best_years_of_our_lives,1946,Not Rated,10000,98,93,Drama,William Wyler,172
The Bridge on the River Kwai,https://www.rottentomatoes.com/m/bridge_on_the_river_kwai,1957,PG,50000,96,93,War,David Lean,161
Ali: Fear Eats the Soul,https://www.rottentomatoes.com/m/fear_of_fear,1974,Not Rated,5000,100,91,Romance,Rainer Werner Fassbinder,94
Whiplash,https://www.rottentomatoes.com/m/whiplash_2014,2014,R,50000,94,94,Drama,Damien Chazelle,106
The Farewell,https://www.rottentomatoes.com/m/the_farewell_2019,2019,PG,1000,97,87,Comedy,Lulu Wang,100
Unforgiven,https://www.rottentomatoes.com/m/1041911-unforgiven,1992,R,100000,96,93,Western,Clint Eastwood,130
The Adventures of Robin Hood,https://www.rottentomatoes.com/m/1000355-adventures_of_robin_hood,1938,PG,25000,100,89,Adventure,Michael Curtiz,102
Pulp Fiction,https://www.rottentomatoes.com/m/pulp_fiction,1994,R,250000,92,96,Crime,Quentin Tarantino,154
The King's Speech,https://www.rottentomatoes.com/m/the_kings_speech,2011,R,100000,94,92,History,Tom Hooper,118
Leave No Trace,https://www.rottentomatoes.com/m/leave_no_trace,2018,PG,5000,100,78,Drama,Debra Granik,108
Star Wars: Episode V - The Empire Strikes Back,https://www.rottentomatoes.com/m/star_wars_episode_v_the_empire_strikes_back,1980,PG,250000,95,97,Sci-Fi,Irvin Kershner,124
The Passion of Joan of Arc,https://www.rottentomatoes.com/m/passion_of_joan_of_arc,1928,Not Rated,10000,98,93,History,Carl Theodor Dreyer,77
Quiz Show,https://www.rottentomatoes.com/m/quiz_show,1994,PG-13,25000,97,87,Drama,Robert Redford,130
Avengers: Endgame,https://www.rottentomatoes.com/m/avengers_endgame,2019,PG-13,50000,94,90,Action,Anthony Russo,181
Ran,https://www.rottentomatoes.com/m/ran,1985,R,25000,96,95,History,Akira Kurosawa,160
Safety Last,https://www.rottentomatoes.com/m/safety_last,1923,Not Rated,2500,97,93,Comedy,Fred Newmeyer,74
Iron Man,https://www.rottentomatoes.com/m/iron_man,2008,PG-13,250000,94,91,Action,Jon Favreau,126
Moana,https://www.rottentomatoes.com/m/moana_2016,2016,PG,50000,95,89,Kids & Family,John Musker,107
