Title,Link,Year,Rating_Classification,Total_Ratings,Average_Rating,Director,Runtime,Genre
Come and See,https://www.imdb.com/title/tt0091251/?ref_=chttp_t_90,1985,Not Rated,107000,8.3,Elem Klimov,142,Epic
Requiem for a Dream,https://www.imdb.com/title/tt0180093/?ref_=chttp_t_91,2000,NC-17,924000,8.3,Darren Aronofsky,102,Psychological Drama
Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=chttp_t_92,2010,G,917000,8.3,Lee Unkrich,103,Computer Animation
Star Wars: Episode VI - Return of the Jedi,https://www.imdb.com/title/tt0086190/?ref_=chttp_t_93,1983,PG,1100000,8.3,Richard Marquand,131,Action Epic
The Hunt,https://www.imdb.com/title/tt2106476/?ref_=chttp_t_94,2012,R,379000,8.3,Thomas Vinterberg,115,Psychological Drama
Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/?ref_=chttp_t_95,2004,R,1100000,8.3,Michel Gondry,108,Dark Romance
Ikiru,https://www.imdb.com/title/tt0044741/?ref_=chttp_t_96,1952,Not Rated,94000,8.3,Akira Kurosawa,143,Psychological Drama
2001: A Space Odyssey,https://www.imdb.com/title/tt0062622/?ref_=chttp_t_97,1968,G,742000,8.3,Stanley Kubrick,149,Adventure Epic
Reservoir Dogs,https://www.imdb.com/title/tt0105236/?ref_=chttp_t_98,1992,R,1100000,8.3,Quentin Tarantino,99,Gangster
The Apartment,https://www.imdb.com/title/tt0053604/?ref_=chttp_t_99,1960,Approved,204000,8.3,Billy Wilder,125,Farce
Lawrence of Arabia,https://www.imdb.com/title/tt0056172/?ref_=chttp_t_100,1962,PG,324000,8.3,David Lean,227,Adventure Epic
Incendies,https://www.imdb.com/title/tt1255953/?ref_=chttp_t_101,2010,R,218000,8.3,Denis Villeneuve,131,Suspense Mystery
Scarface,https://www.imdb.com/title/tt0086250/?ref_=chttp_t_102,1983,R,946000,8.3,Brian De Palma,170,Drug Crime
Double Indemnity,https://www.imdb.com/title/tt0036775/?ref_=chttp_t_103,1944,Approved,172000,8.3,Billy Wilder,107,Film Noir
